sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-535.447201210503;4698.35818834484;-693.946318177523;-1190.37569799145;-340.978837832122;158.382729486149;-7.14942928651303;-305.137977423521;3104;0;11846;-11701;-642;-154;268;-3;148383;500;15:17:13.767711
-470.028537682618;4539.14335200184;-567.621271282612;-902.822363078313;-473.888773350733;147.019613724014;-98.4085776298414;-47.2959483496584;3104;0;11797;-11734;-635;24;197;136;148384;500;15:17:13.815515
-32.6770756706914;4783.91049872012;-407.554785170942;-830.66167552074;-762.585077604109;516.167907229908;116.700079008125;201.427419245486;3104;0;11797;-11734;-635;24;197;136;148385;500;15:17:13.815560
128.893046421716;5141.73744625197;-70.7802278313643;-616.493105782713;-721.961071576792;728.958496320005;221.566836587246;394.454979212025;3104;0;11797;-11734;-635;24;197;136;148386;500;15:17:13.815596
-282.637830799053;5035.85505765984;-5.26869854106802;-704.963643516495;-540.445859412359;611.015433180237;-124.705246007603;343.088641339735;3104;0;11797;-11734;-635;24;197;136;148387;500;15:17:13.815635
-402.336604456592;5322.1588665827;-12.6635521302235;-977.823523117215;-217.38909076878;683.142894339086;-218.631605980865;433.055648226484;3104;0;11797;-11734;-635;24;197;136;148388;500;15:17:13.815674
-409.862865504041;5490.01374605879;141.517191198648;-865.713850724649;89.6090522850201;841.558616482538;-208.270477235616;442.424194360168;3104;0;11797;-11734;-635;24;197;136;148389;500;15:17:13.815713
-444.366701297922;5291.17703525829;169.532473027157;-672.351106821271;211.934135211027;1062.14456459361;-19.9604972452968;268.822713111542;3104;0;11797;-11734;-635;24;197;136;148390;500;15:17:13.815754
-103.426167237745;5164.96838922541;273.057211285338;-694.987024314408;165.940714190274;705.109573107956;135.659311730515;171.037339231437;3104;0;11797;-11734;-635;24;197;136;148391;500;15:17:13.815797
131.459100546689;5125.313920369;55.2367705796126;-1234.2247372805;306.360247247169;618.037242463516;337.367536914896;161.115891905566;3104;0;11797;-11734;-635;24;197;136;148392;500;15:17:13.815841
179.938861388776;5313.04657001268;-206.927788831973;-2000.93145007137;388.879487327614;259.132207824619;420.213674193765;49.5789010196638;3104;0;11797;-11734;-635;24;197;136;148393;500;15:17:13.815892
287.183488450632;5691.68732250499;-545.95064605718;-2494.03512365815;333.109485160738;61.1011378263196;598.600700587271;-139.791278950546;3104;0;11732;-11763;-634;-47;170;148;148394;500;15:17:13.815939
521.945241025744;6188.00370587927;-186.372703598596;-2441.08138444216;506.721712132675;-235.534656364019;807.823745157766;-49.0654534064983;3104;0;11732;-11763;-634;-47;170;148;148395;500;15:17:13.815998
759.813210770916;6293.08029622249;72.8992558671228;-2305.08306559192;750.867607161232;-156.047939311164;1104.72066544385;365.041287952452;3104;0;11732;-11763;-634;-47;170;148;148396;500;15:17:13.816054
134.863466300149;5914.6241849964;99.7156921661682;-2422.54305976033;601.345811573644;-638.799463700038;797.779397454177;156.935352417994;3104;0;11732;-11763;-634;-47;170;148;148397;500;15:17:13.816107
-82.3977989772248;6102.64942143378;76.3956044799314;-2726.21396434171;634.588524348703;-490.87290842611;1039.36775673978;405.267014130739;3104;0;11732;-11763;-634;-47;170;148;148398;500;15:17:13.816805
72.7809650270716;5770.01106824202;-96.2885670624132;-3026.83335395385;463.13438248378;-747.279414511002;1043.42774362949;294.493694929301;3104;0;11732;-11763;-634;-47;170;148;148399;500;15:17:13.816883
510.673751061427;5902.33093221708;187.172169703457;-2639.273075792;606.167994532002;-568.035176227479;865.030152741511;220.389101187773;3104;0;11732;-11763;-634;-47;170;148;148400;500;15:17:13.816969
456.16259442791;5526.03330089948;537.637071285378;-2285.04562445532;470.224200913175;-365.554473657518;483.806000686819;344.901831620494;3104;0;11732;-11763;-634;-47;170;148;148401;500;15:17:13.817047
53.0728825761391;5029.42730569819;597.190110875384;-2200.56392965474;502.021550936541;-200.975919313148;345.353661459024;520.06820585177;3104;0;11732;-11763;-634;-47;170;148;148402;500;15:17:13.817129
-767.427457194516;4222.41622326734;239.922158857639;-2484.65731212807;423.617765435251;-479.226627015005;315.945904362267;312.927898946644;3104;0;11732;-11763;-634;-47;170;148;148403;500;15:17:13.817208
-936.025737807293;3804.78683655146;-5.42334237827246;-2895.22336153163;604.246911030172;-902.933494382761;419.6914120768;218.210467205741;3104;0;11698;-11840;-609;56;193;49;148404;500;15:17:13.817300
-871.391490492441;3594.7749226019;-248.257710164357;-3309.74109742951;530.797592490963;-1204.27255471666;749.14760724908;552.276973828636;3104;0;11698;-11840;-609;56;193;49;148405;500;15:17:13.817383
32.0789176902574;4291.59487976834;-213.643993112812;-2714.06248236184;843.794265801921;-936.890267122585;278.72773343942;595.498975505644;3104;0;11698;-11840;-609;56;193;49;148406;500;15:17:13.817465
388.273521550292;4585.27956225723;-335.074070555069;-2560.7867373526;865.93802473517;-1024.28600462192;-89.6728228763796;321.978453372063;3104;0;11698;-11840;-609;56;193;49;148407;500;15:17:13.817511
313.642210243131;4666.02354304192;-390.550177075283;-2461.41021601627;814.730631456064;-905.039067871995;219.889623916405;444.870423164262;3104;0;11698;-11840;-609;56;193;49;148408;500;15:17:13.817553
39.5341108883039;4810.30960730327;-260.882308081834;-1967.42863177624;896.588248221528;-613.650278720208;310.178610897397;351.640523724419;3104;0;11698;-11840;-609;56;193;49;148409;500;15:17:13.817596
-486.767233646869;4539.00727022691;-95.856094585947;-1442.34986737857;912.830048287583;-255.30704713746;416.899356015896;188.366301816249;3104;0;11698;-11840;-609;56;193;49;148410;500;15:17:13.817641
-471.962452263332;4407.12915217179;112.025261971068;-1152.03950506822;841.176165439133;-49.5180201459571;433.358137466699;317.920752649396;3104;0;11698;-11840;-609;56;193;49;148411;500;15:17:13.818421
72.0438755592892;4455.87904326979;42.1745861557685;-1022.23702802331;444.522546445295;144.058613870276;368.971994229935;282.224256502133;3104;0;11698;-11840;-609;56;193;49;148412;500;15:17:13.818492
109.411144631606;4614.87792906882;128.142223756591;-571.363132079464;8.42343325771897;-309.74340411317;122.640918300172;19.0164080260033;3104;0;11698;-11840;-609;56;193;49;148413;500;15:17:13.818574
115.815077802788;4399.18194273395;75.6081203379116;-519.08211659411;90.7928945826791;63.3872636478288;153.436851894161;-132.892601291218;3104;0;11707;-11838;-572;88;212;-28;148414;500;15:17:13.818643
147.026978170014;4216.85472365705;-26.4517414290484;-611.829906679819;230.26533631214;683.666795286696;315.183616347695;82.779628933877;3104;0;11707;-11838;-572;88;212;-28;148415;500;15:17:13.818717
532.739092180597;4783.05839171315;232.503838972359;-215.705471045938;699.213551456675;1376.51118187477;185.18933403079;302.812706427392;3104;0;11707;-11838;-572;88;212;-28;148416;500;15:17:13.818786
212.035009049129;4261.76425375014;189.285491152015;-42.1577415229651;770.235758145601;1339.22045784098;-41.544165742106;98.4422928561345;3104;0;11707;-11838;-572;88;212;-28;148417;500;15:17:13.818865
